days,num,cada_dia,cada_dos,cada_tres,cada_cuatro,cada_cinco,cada_seis,cada_siete
87,88,7.73713E+27,6.21978E+14,26843545600,176348759.9,8647527.044,1158523.75,275640.3595
88,89,1.54743E+28,8.79609E+14,33820748155,209715200,9933400.09,1300398.942,304331.6304
89,90,3.09485E+28,1.24396E+15,42611472524,249394808,11410480.34,1459648.46,336009.3618
90,91,6.1897E+28,1.75922E+15,53687091200,296582080.1,13107200,1638400,370984.4129
91,92,1.23794E+29,2.48791E+15,67641496311,352697519.8,15056219.08,1839041.82,409600
92,93,2.47588E+29,3.51844E+15,85222945048,419430400,17295054.09,2064254.648,452235.0648
93,94,4.95176E+29,4.97582E+15,1.07374E+11,498789615.9,19866800.18,2317047.501,499307.9928
94,95,9.90352E+29,7.03687E+15,1.35283E+11,593164160.2,22820960.69,2600797.884,551280.7189
95,96,1.9807E+30,9.95164E+15,1.70446E+11,705395039.6,26214400,2919296.92,608663.2608
96,97,3.96141E+30,1.40737E+16,2.14748E+11,838860800,30112438.16,3276800,672018.7236
97,98,7.92282E+30,1.99033E+16,2.70566E+11,997579231.9,34590108.18,3678083.64,741968.8258
98,99,1.58456E+31,2.81475E+16,3.40892E+11,1186328320,39733600.36,4128509.296,819200
99,100,3.16913E+31,3.98066E+16,4.29497E+11,1410790079,45641921.37,4634095.001,904470.1296
